id,name_ru,name_en,skill,how,fixes,level,load,solo_ok_default,popularity,coaches,sources
BR-11,Управление дыханием (Top 2 Breathing Exercises),Breath management exercises,BREATH,"Как тело дышит при пении, плюс практика. Конкретные упражнения в открытых фрагментах не найдены.","Опора, длина фраз",новичок,1,после показа педагогом,1,Dr Dan Robinson,"сырой №42. https://www.djarts.com.au/singing-tips/breath-management-exercises/ (по названию видео, содержание не проверено)"
BR-12,Контроль дыхания и опора (Vendera),Breath control / support exercises,BREATH,Упражнения на опору и выносливость. Детали не найдены.,"Опора, выносливость",новичок,1,после показа педагогом,1,Jaime Vendera,"сырой №137. https://www.jaimevendera.com/ СОМНИТЕЛЬНО: по памяти модели, содержание неизвестно, не проверено"
BR-13,«Сила дыхания»: 3 упражнения старых мастеров и тренировка диафрагмы,Breath Power (3 exercises from the masters) / Diaphragm exercises (Breathing Bootcamp),BREATH,Тренировать дыхательные мышцы с сопротивлением и не набирать лишний воздух. Серия из 3 упражнений и бонусный раздел курса о диафрагме. Конкретные упражнения в открытом доступе не найдены.,"Длинные ноты, стабильная интонация, выносливость, свобода голоса",новичок,2,после показа педагогом,1,Eric Arceneaux,"сырые №88, 89 (объединены: одна тема, один коуч). https://www.facebook.com/Eric-Arceneaux-26641386464/videos/part-1%EF%B8%8F%E2%83%A3-breath-power/1373670086150650/ (по названию видео); https://webmusicstar.com/reviews/elite-singing-techniques-phase-1.php (вторичный источник)"
BR-14,«Мухаммед Али»: диафрагма и позиция гласных,Muhammad Ali,BREATH,Работа диафрагмы вместе с позицией гласных (Breathing Bootcamp). Детали не найдены.,"Активация диафрагмы, позиция гласных",средний,2,после показа педагогом,1,Cheryl Porter,сырой №12. https://course.cherylportermethod.com/courses/823327/lectures/14965922 (оглавление курса)
BR-15,Апподжо и «подвешенное» дыхание («вдыхать голос»),Appoggio / breath suspension (inhalare la voce),BREATH,"Голос опирается на дыхательные мышцы корпуса. После вдоха дыхание на мгновение «подвешивается», затем звук начинается без сброса воздуха (принцип бел канто inhalare la voce).","Слабая опора, выдох «обвалом», пережатые связки",средний,2,только с педагогом,1,Madeleine Harvey,"сырой №95. https://www.youtube.com/watch?v=G1zgE1SZ7-4 (описание видео). Только с педагогом, потому что есть элемент задержки дыхания (§2.6)."
BR-16,"Кряхтение борца, переходящее в ноту (опора)",Wrestler's grunt into note,BREATH,"Приготовиться и «кряхнуть» из самого низа живота: живот идёт к позвоночнику, воздух останавливается связками. Получившийся тон превратить в ноту.","Нет реальной опоры, слабый звук",средний,2,только с педагогом,1,Chris Liepe,сырой №49. https://jamplay.com/articles/5-guides/193-action-points-for-rock-singers-part-2 (статья автора). Только с педагогом: глоттальная остановка равна твёрдой атаке (§2.6).
BR-17,«Рокки против Аполло Крида»: дыхательная тренировка боксёра,Rocky VS Apollo Creed,BREATH,Дыхательная тренировка на выносливость из урока Singer Breathing Bootcamp. Паттерн не найден.,Дыхательная выносливость,средний,2,только с педагогом,1,Cheryl Porter,сырой №11. https://course.cherylportermethod.com/courses/823327/lectures/14965922 (оглавление курса). Упражнение «на выносливость» (§2.6).
BR-18,"«Беги, спасая жизнь»: интенсивное сопротивление",Run For Your Life,BREATH,Высокоинтенсивная работа диафрагмы с «экстремальным сопротивлением» и позицией гласных (уроки 3 и 10).,"Выносливость, опора на длинных и сложных фразах",продвинутый,3,только с педагогом,1,Cheryl Porter,сырой №13. https://course.cherylportermethod.com/courses/823327/lectures/14965930 (оглавление курса)
BR-19,VFE 4 Стемпла: долгие ноты до–соль на «ол»,Vocal Function Exercises 4 — power exercise: sustained C-D-E-F-G on 'ol',BREATH,"Каждая нота (C4–G4 у женщин, на октаву ниже у мужчин) тянется максимально долго на «ol», тихо. По 2 раза, 2 раза в день, 6–8 недель.",Выносливость и эффективность фонации,средний,2,только с педагогом,1,"Joseph Stemple (клинический протокол, не YouTube-коуч)","сырой №189. https://pubmed.ncbi.nlm.nih.gov/?term=Stemple+vocal+function+exercises (по памяти модели, не проверено). В таксономии VF ближе к SUSTAIN: в v1 не больше 20 с на ноту."
BR-20,Простое упражнение на вокальную выносливость,Vocal stamina simple exercise,BREATH,Разбор заблуждений о выносливости и одно простое упражнение. Суть не найдена.,Голос быстро устаёт,средний,2,только с педагогом,1,Chris Liepe,сырой №59. https://www.youtube.com/watch?v=QdU3lpOeIr0 (по названию видео). Навык условный (SUSTAIN); «на выносливость» по §2.6.
FR-01,Язык наружу «я-я-я» и массаж челюсти,"Tongue/jaw release: tongue-out 'yah-yah', jaw (TMJ) self-massage",FREEDOM,"Язык лежит на нижней губе, «yah-yah-yah» поётся на 5-4-3-2-1. Массаж жевательных мышц: основания ладоней на линии челюсти, вести вниз.","Зажатые язык и челюсть, задавленные гласные",новичок,1,да,4,"Felicia Ricci, Matt Ramsey, Cari Cole, Dr Dan Robinson","сырые №193, 36. Массаж у Dr Dan подтверждён: https://www.djarts.com.au/blog/2023/09/dr-dans-guide-to-alleviating-singing-tension/ ; «я-я» у Ricci, Ramsey, Cole — по памяти модели, не проверено (https://www.youtube.com/@FeliciaRicci). Соответствует FR-04."
FR-02,"Отпустить язык: думать «UH», петь «как пьяный», разговорная версия",Tongue release triggers: think UH / sing 'drunk' / conversational version,FREEDOM,"Три приёма: (1) во время пения думать нейтральное «UH»; (2) представить, что слегка пьян, и отпустить язык; (3) проговорить или пропеть распевку либо песню в разговорной манере.",Зажатый корень языка и связанное с ним напряжение гортани,новичок,1,да,1,Felicia Ricci,сырой №78. https://www.youtube.com/playlist?list=PLMLNc6Z2yl64IDQB_v0Mp11PntsYKd_aL (пересказ видео)
FR-03,«Рыбьи губы»,Fish lips,FREEDOM,"Во время распевок и мелизмов губы слегка вытянуты вперёд, «как у рыбы». Используется и в BWAH.","Зажатые челюсть и язык, звук и дыхание уходят назад",новичок,1,да,1,Felicia Ricci,сырой №75. https://www.tumblr.com/mynameisfel (вторичный источник)
FR-04,Вытянуть язык вперёд 3 раза,Tongue extension x3,FREEDOM,Перед пением трижды вытянуть язык вперёд.,Скрытое напряжение языка,новичок,1,да,1,Dr Dan Robinson,сырой №35. https://www.djarts.com.au/blog/2023/09/dr-dans-guide-to-alleviating-singing-tension/ (подтверждено). Без звука.
FR-05,Беззвучный смех (ретракция ложных связок),Silent laugh (false vocal fold retraction),FREEDOM,"Беззвучно «рассмеяться» или представить приятный сюрприз, почувствовать расширение в горле. Затем петь, сохраняя это ощущение.","Сдавленный, зажатый звук, констрикция",новичок,1,да,1,Estill Voice Training (школа),"сырой №179. https://www.estillvoice.com/ (по памяти модели, не проверено)"
FR-06,«Укротить непослушный язык»: снятие зажима языка,Tame that terrible tongue,FREEDOM,"Серия упражнений против зажима языка. Какие именно движения показаны в видео, не подтверждено.",Зажатый язык тянет гортань и зажимает голос,новичок,1,после показа педагогом,1,Madeleine Harvey,сырой №98. https://www.youtube.com/watch?v=gki1OAvFBDc (по названию видео)
FR-07,Стабилизация мышц глотания и шеи,Stabilizing the swallowing muscles,FREEDOM,"Вокальные упражнения, которые отделяют работу голоса от внешних мышц глотания, чтобы при добавлении силы звук оставался стабильным. Детали не найдены.","Пережатая, «сжатая» шея на громких и высоких нотах",средний,2,после показа педагогом,1,Madeleine Harvey,сырой №100. https://www.skillshare.com/en/classes/Extend-Your-Vocal-Range-Sing-with-Power-Projection/1582457669 (вторичный источник)
PI-01,Попадание в ноту и подъезд к ноте,Pitch matching / slide-to-pitch,PITCH,"Прослушать ноту и спеть её на «mm» или «ah», сверить по тюнеру. Вариант: слайд снизу к целевой ноте с остановкой на ней.","Фальшь, неточное попадание в ноту",новичок,1,да,2,"Madeleine Harvey, Matt Ramsey (30 Day Singer)","сырой №192. https://www.youtube.com/@30DaySinger (по памяти модели, не проверено). Соответствует PI-01 и PI-03."
PI-02,Точная интонация на знакомых песнях и разных гласных,Pitch accuracy exercises (on familiar songs),PITCH,"Теория и практика. Упражнения переносятся на знакомые песни, интонация отдельно тренируется на разных гласных.",Неточная интонация,новичок,1,да,1,Dr Dan Robinson,сырой №44. https://www.djarts.com.au/singing-tips/pitch-accuracy/ (вторичный источник)
PI-03,«Диско-гласные»,Disco Vowels,PITCH,Гласные под диско-ритм с точным попаданием в ноты.,"Позиция гласных, точность высоты",новичок,1,да,1,Cheryl Porter,сырой №17. https://course.cherylportermethod.com/courses/823327/lectures/14965921 (оглавление курса)
RE-01,Мычание «мм» на гамме и скольжениях («переднее» мычание),Humming ('mm') on 5-tone scale / hum slides / forward-placed hum,RESONANCE,"Губы сомкнуты, зубы разомкнуты. Лёгкое «мм» с вибрацией в губах и носу, звук ощущается «впереди». Паттерн 1-2-3-4-5-4-3-2-1 или скольжения в пределах октавы. Следующий шаг: «mm → ah».","Нет переднего резонанса, жёсткий вход в звук",новичок,1,да,5,"Dr Dan Robinson, Felicia Ricci, Cari Cole, Eric Arceneaux, Matt Ramsey","сырые №28, 72, 151, 173. Dr Dan подтверждено: https://www.djarts.com.au/singing-tips/singing-warm-up/ ; Ricci (оглавление курса): https://docplayer.net/37593567-Singing-transformation-360-degrees-of-vocal-training-by-felicia-ricci.html ; Cole, Arceneaux, Ramsey — по памяти модели, не проверено. Близко к SOVT-03 стартового набора."
RE-02,"Твэнг: «ня», смех ведьмы, «кряканье»",Twang / 'Nyah' / witch cackle / duck quack,RESONANCE,"Узкий яркий «гнусавый» звук «nyah» или «nyeh» на 1-3-5-3-1 и на сиренах. Затем тот же твэнг на гласных без носового призвука. Твэнг не равен носовому звуку (Dr Dan). Тихо, без крика.","Тихий или глухой голос, желание продавить громкостью. Даёт яркость и помогает на переходе",средний,2,после показа педагогом,5,"Estill Voice Training, Robert Lunte (TVS), Cathrine Sadolin (CVT), Tristan Paredes (Vocal Basics), Dr Dan Robinson","сырые №38, 169. Dr Dan (вторичный источник): https://www.djarts.com.au/singing-tips/vocal-twang-2/ ; остальные по памяти модели: https://www.youtube.com/@TheVocalistStudio (не проверено)"
RE-03,"«Мам» на пятинотной гамме (звук вперёд, в «маску»)",Mum (M-Ah-M) on 5-tone scale,RESONANCE,"Начать на закрытом «М», раскрыть в «А» и вернуться в «М»: «mum-mum-mum» на 1-2-3-4-5-4-3-2-1. Вибрация ощущается в лице.","Передний резонанс теряется на открытой гласной, неровное смыкание",новичок,1,да,3,"Eric Arceneaux, Roger Love, Brett Manning","сырые №81, 146, 158. Arceneaux (вторичный источник): https://flypaper.soundfly.com/tips/it-only-takes-5-minutes-to-master-these-3-simple-vocal-warm-up-exercises/ ; Love, Manning — по памяти модели, не проверено. Регистровая версия на арпеджио — RG-04."
RE-04,"Открытое горло: преувеличенный зевок, метод «открытого горла»",Exaggerated open throat / yawn; OPEN THROAT Singing Method,RESONANCE,"Намеренно преувеличенный зевок и подъём мягкого нёба, чтобы выстроить новую нейтральную позицию (основа из бел канто). Затем упражнения на резонанс. Слоги у Harvey не найдены.","Зажатое горло, бедный резонанс, узкий диапазон",средний,2,после показа педагогом,2,"Eric Arceneaux, Madeleine Harvey","сырые №90, 106. https://www.tiktok.com/@ericrcno/video/7408994509729598751 (подпись к видео); https://www.youtube.com/watch?v=HChTcNfnynw (по названию видео). Предупреждение: не «давить» гортань вниз."
RE-05,«Ми-ме-ма-мо-му»: вирусная распевка,Mimemamomu (viral warm-up),RESONANCE,"Слоги mi-me-ma-mo-mu на короткой повторяющейся мелодии, по полутонам вверх. Есть много вариантов: с детьми, дуэтом, в быстром темпе.","Универсальная распевка: дыхание, резонанс, артикуляция",новичок,1,да,1,Cheryl Porter,"сырой №6. https://www.tiktok.com/@cherylporterdiva/video/7020945226613181701 (по названию видео). Подвижная версия — AG-04, версия на выносливость — ON-07."
RE-06,«Спокойные гласные»,Calm Down Vowels,RESONANCE,"Выравнивание гласных в спокойном темпе. Используется и для того, чтобы услышать свои регистры (уроки 2 и 6).","Разная позиция гласных, неровный тембр",новичок,1,да,1,Cheryl Porter,сырой №16. https://course.cherylportermethod.com/courses/823327/lectures/14965921 (оглавление курса)
RE-07,«УА»: открытая задняя часть глотки,WAA (open singing / open back of throat),RESONANCE,Слог WAA по шаблону арпеджио (урок 2 курса Singing Transformation и модуль компрессии). Точный нотный паттерн не найден.,"Глотка закрывается, хотя смыкание есть",новичок,1,после показа педагогом,1,Felicia Ricci,сырой №71. https://docplayer.net/37593567-Singing-transformation-360-degrees-of-vocal-training-by-felicia-ricci.html (оглавление курса)
RE-08,«Ха-О»,Huh-Oh,RESONANCE,Слоги «huh-oh» в разных вариантах. Цель: открыть горло и при этом сомкнуть связки. Нотный паттерн не найден.,Узкое зажатое горло при слабом смыкании,новичок,1,после показа педагогом,1,Eric Arceneaux,сырой №85. https://webmusicstar.com/reviews/elite-singing-techniques-phase-1.php (обзор курса)
RE-09,Лицевой резонанс на разных гласных (Free Your Voice №3),Facial resonance over different vowels,RESONANCE,"Сохранять полный лицевой резонанс при смене гласных и других звуков, то есть на реальных словах.",Тембр неровный на тексте,средний,1,после показа педагогом,1,Chris Liepe,сырой №54. https://chrisliepe.com/get-my-free-training-series/ (описание курса)
RE-10,Три упражнения на тёплый тембр,Warmer vocal tone exercises (3),RESONANCE,Три упражнения на тёплый насыщенный тембр. Содержание в открытых фрагментах не найдено.,Узкий или слишком яркий тембр,средний,1,после показа педагогом,1,Dr Dan Robinson,сырой №45. https://www.djarts.com.au/singing-tips/singing-exercises-for-warmer-vocal-tone/ (по названию видео)
RE-11,"«З-И-А»: жужжание, переходящее в «И» и «А»",ZZ-EE-AAH,RESONANCE,"Цепочка ZZ → EE → AAH на 1-3-5-8-8-5-3-1. На ZZ звук жужжит впереди лица, фокус «И» сохраняется, когда гласная раскрывается в «А».","Нет переднего фокуса, «А» без фокуса «И». Помогает белту и миксу",новичок,2,после показа педагогом,1,Felicia Ricci,сырой №66. https://www.tumblr.com/mynameisfel (пересказ её поста в поисковой выдаче). Нагрузка 2: паттерн на октаву.
RE-12,Упражнение на яркий тон «ХАН-ГИ»,Bright Tone Exercise (HUN GHI),RESONANCE,Слоги «hun – ghi»: носовое ng переходит в звонкое gi. Нотный рисунок не найден.,"Открывает резонанс, выравнивает грудной, головной и микст",средний,2,после показа педагогом,1,Cheryl Porter,сырой №7. https://www.tiktok.com/@cherylporterdiva/video/7548701427351162142 (описание в поиске)
RE-13,Гаммы на гласные «с открытым горлом» (и-э-а-о-у),Open throat vowel scales (ee-ay-ah-oh-oo),RESONANCE,"Гаммы и арпеджио на цепочку гласных. Челюсть свободна, гортань стабильна.","Неровные гласные, зажим на закрытых гласных",средний,2,после показа педагогом,1,Ken Tamplin,"сырой №180. https://www.youtube.com/@KenTamplinVocalAcademy (по памяти модели, не проверено). Близко к RE-02 стартового набора."
RE-14,"Hooty («совиный», тёмный) и Bratty («капризный», твэнг)",Hooty vs Bratty workouts,RESONANCE,Контрастная пара на гаммах: тёмная округлая «hooty»-гласная и узкая яркая «bratty»-гласная (вроде «nyah»).,"Нет баланса резонанса, нет управления яркостью",средний,2,после показа педагогом,1,Robert Lunte,"сырой №140. https://www.thevocaliststudio.com/ (по памяти модели, не проверено)"
RE-15,Опора и лицевой резонанс по диапазону (Free Your Voice №2),Support + facial resonance across range,RESONANCE,Держать опору и «лицевой» резонанс на разных нотах диапазона.,Опора и резонанс пропадают при смене высоты,новичок,2,после показа педагогом,1,Chris Liepe,сырой №53. https://chrisliepe.com/get-my-free-training-series/ (описание курса)
RE-16,«Разогрев Джеймса Чарльза» и «Дай пять»,James Charles Warm Up / High Five,RESONANCE,Два упражнения из урока Vowel Placement на гибкость и позицию гласных. Паттерн не найден.,Негибкие гласные,средний,2,после показа педагогом,1,Cheryl Porter,сырой №18. https://course.cherylportermethod.com/courses/823327/lectures/14965921 (оглавление курса)
RE-17,Профессиональная распевка 3: улучшение тембра и освобождение горла,Professional Vocal Warmup 3 – Improving Vocal Tone (Freeing The Throat),RESONANCE,Распевка в формате «пой вместе». Паттерны не найдены.,"Зажатое горло, тусклый тембр",средний,2,после показа педагогом,1,Eric Arceneaux,сырой №93. https://www.youtube.com/watch?v=NMFH6Ob801I (по названию видео)
ON-01,"Атаки: твёрдая, придыхательная, одновременная (сбалансированная) и окончания звука",Onsets & offsets: glottal / aspirate / simultaneous (balanced onset drills),ONSET,"Одна гласная на удобной ноте, три типа атаки по очереди. Цель: мягкая одновременная атака «ah» без щелчка и без «хх». Отдельно отрабатывается окончание звука.",Удар или воздух в начале ноты,средний,2,после показа педагогом,3,"Dr Dan Robinson, Robert Lunte, Estill Voice Training","сырые №39, 138, 178. Dr Dan (вторичный источник): https://www.djarts.com.au/singing-tips/vocal-onsets-and-offsets/ ; Lunte, Estill — по памяти модели, не проверено. Дома только одновременная атака, твёрдую не давать (§2.6)."
ON-02,Стаккато «ха» (толчки опоры),Staccato 'ha' / panting support pulses,ONSET,"Короткие «ha-ha-ha» на одной ноте или на 1-3-5-3-1. Импульс идёт от живота, горло свободно.","Вялая опора, неточная атака",средний,2,после показа педагогом,2,"Ken Tamplin, Cathrine Sadolin (CVT) (+ классика appoggio)","сырой №177. https://www.youtube.com/@KenTamplinVocalAcademy (по памяти модели, не проверено). Мягкая версия близка к ON-02 стартового набора («ха → а»)."
ON-03,Вокальный фрай для смыкания (компрессия),Vocal fry (compression / resistance training),ONSET,"Лёгкое ровное «потрескивание» на низах без зажима горла, по шаблонам арпеджио.","Воздух утекает, слабое смыкание. По словам Arceneaux, это «тренировка с сопротивлением» для диафрагмы",новичок,2,только с педагогом,2,"Felicia Ricci, Eric Arceneaux","сырые №70, 82. https://docplayer.net/37593567-Singing-transformation-360-degrees-of-vocal-training-by-felicia-ricci.html ; https://flypaper.soundfly.com/tips/it-only-takes-5-minutes-to-master-these-3-simple-vocal-warm-up-exercises/ (вторичные источники). Фрай только по назначению (§2.6)."
ON-04,Пятинотная гамма с одновременной атакой,Five Note Scale with Simultaneous Onset,ONSET,"1-2-3-4-5-4-3-2-1 вверх и вниз по полутонам. Каждая фраза начинается одновременной атакой: воздух и смыкание вместе, без придыхания и без удара. Dr Dan называет его лучшим упражнением для новичка.","Грязная атака, базовая координация, интонация",новичок,1,да,1,Dr Dan Robinson,сырой №30. https://www.djarts.com.au/singing-tips/best-beginner-singing-exercise/ (подтверждено)
ON-05,Стаккато на «М» закрытым ртом,Staccato M,ONSET,Короткие отрывистые ноты на закрытом «М». Модуль курса Elite Singing Techniques Phase I.,"Точное смыкание, координация мышц гортани",новичок,1,после показа педагогом,1,Eric Arceneaux,сырой №83. https://brainlearns.org/courses/eric-arceneaux-elite-singing-techniques-phase-i/ (описание курса). Близко к ON-01 стартового набора.
ON-06,От стаккато «М» к легато «М»,Staccato M to Legato M,ONSET,"Сначала фраза стаккато на «М», затем та же фраза связно, с тем же контролем смыкания.",Переход от точной атаки к ровному связному звуку,средний,1,после показа педагогом,1,Eric Arceneaux,сырой №84. https://www.soundfro.com/elite-singing-techniques-review/ (обзор курса)
ON-07,«Тайсон Фьюри»: выносливость и атака на «ми-ме-ма-мо-му»,Tyson Fury,ONSET,"«mi me ma mo mu» с чёткой атакой каждой ноты, на выносливость. «Жечь» должно в корпусе, а не в горле. При хрипоте или боли остановиться.","Выносливость голоса, контроль дыхания, атака, интонация",средний,3,только с педагогом,1,Cheryl Porter,сырой №4. https://braghq.com/cheryl-porter-vocal-warm-ups/ (подтверждено). Упражнение «на выносливость» (§2.6).
ON-08,Гамма с фокусом на нижнем прессе (твёрдая атака),Scale/melody with lower-ab focus (glottal attack),ONSET,"Простая мелодия или кусок гаммы. Внимание на нижних мышцах живота, начало звука твёрдой (глоттальной) атакой.","Вялая атака, звук не связан с опорой",средний,2,только с педагогом,1,Chris Liepe,сырой №51. https://jamplay.com/articles/5-guides/193-action-points-for-rock-singers-part-2 (вторичный источник). Твёрдая атака (§2.6).
ON-09,Профессиональная распевка 4: укрепление голоса,Professional Vocal Warmup 4 – Strengthening The Voice,ONSET,Распевка в формате «пой вместе». Паттерны не найдены.,"Слабый голос, выносливость",средний,2,после показа педагогом,1,Eric Arceneaux,сырой №94. https://www.youtube.com/watch?v=Lyl_yt0RN0s (по названию видео). Навык назначен условно.
RG-01,«Вредное» гнусавое «Нэй» (bratty nay),"Bratty 'Nay' / 'Neigh' (5-tone scale, octave arpeggio, long scale)",REGISTER,"«Nay» капризным, «ведьминым» тоном с твэнгом. Паттерны: 1-2-3-4-5-4-3-2-1, 1-3-5-8-5-3-1, 5-4-3-2-1, длинная гамма или полторы октавы через переход. Не громко. SLS даёт его как временный инструмент.","Провал в фальцет на переходе, воздушный слабый микст, срывы. Истончает связки без «вытягивания» грудного. При злоупотреблении может поднимать гортань",средний,2,после показа педагогом,7,"Brett Manning, Seth Riggs, Roger Love, Kevin Richards, Robert Lunte, Tristan Paredes, Kegan DeBoer","сырые №114, 115, 126, 147, 154, 157, 163. Manning (вторичные источники): https://singingsuccess.com/master-chest-voice/ ; https://www.scribd.com/document/343823750/Brett-Manning-s-Singing-Success ; Riggs: https://www.scribd.com/document/970815877/Speech-Level-Singing-by-Seth-Riggs ; Love, Richards, Lunte, Paredes, DeBoer — по памяти модели, не проверено"
RG-02,Модификация гласных к верху (и почему не петь «И» на верхах),"Vowel modification (ah→uh/aw, ee→ih; Don't sing 'EE' on high notes)",REGISTER,"Гамма или арпеджио вверх. На подходе к переходу гласная постепенно «сужается» или «затемняется»: ah→uh/aw, ee→ih. По словам Dr Dan, это не делается нарочно, а «происходит» в ходе упражнения.","Крикливый «раскрытый» верх, поднятая гортань, зажим на закрытых гласных, неровный переход",средний,2,после показа педагогом,5,"Dr Dan Robinson, Ken Tamplin, Chris Liepe, Tristan Paredes, Robert Lunte (+ классика aggiustamento)","сырые №40, 41, 134, 183. Dr Dan (вторичный источник): https://www.djarts.com.au/singing-tips/vowel-modification/ ; https://www.youtube.com/watch?v=WOodJ_6bfw8 (по названию видео, чем заменять «И» — не найдено); Tamplin, Liepe, Paredes, Lunte — по памяти модели, не проверено. Применение в песне — DI-02."
