id,name_ru,name_en,skill,coach,how,fixes,level,home_safe,url,video_title,match,same_video_as_old_catalog
N-BR-07,Тренировка диафрагмы на трезвучии,Diaphragm Workout (triad arpeggio),BREATH,Kevin Richards,"Сначала сделайте упражнение на диафрагмальное дыхание, затем пойте арпеджио по трезвучию 1-3-5-3-1 с опорой на каждой ноте.","Слабая опора, звук «из горла», воздуха не хватает до конца фразы.",начальный,да,https://www.youtube.com/watch?v=QjLRHpkqp8I,Singing Lessons Have Returned - Diaphragm Workout Part 1 - Kevin Richards - TotalSinging.com,видео целиком об этом упражнении,
N-BR-08,Расширенная гамма на опору: трезвучие плюс октава,Extended Diaphragm Workout Scale (1-3-5-8-5-3-1),BREATH,Kevin Richards,"Пойте арпеджио 1-3-5-8-5-3-1 и держите опору на всей фразе, особенно на верхней ноте и при спуске.",Опора пропадает на широких скачках и длинных фразах.,начальный–средний,да,https://www.youtube.com/watch?v=tbNZANGEt4c,Singing Basics Part 2 - Extended Diaphragm Workout Scale - Kevin Richards - TotalSinging.com,видео целиком об этом упражнении,
N-BR-09,Голос как духовой инструмент: контроль потока воздуха,Your Voice is a Wind Instrument,BREATH,Madeleine Harvey,"Ведите звук ровным потоком воздуха, как на духовом инструменте. Громкость и устойчивость держатся на выдохе, а не на горле.","Мало контроля: звук «плавает», не хватает воздуха на фразу.",начальный,да,https://www.youtube.com/watch?v=z2YGWp4TYO0,How to Sing with More Control - Your Voice is a Wind Instrument,видео целиком об этом упражнении,
N-BR-10,"Больше силы в голосе, часть 1","How to sing with more power, Part 1",BREATH,Madeleine Harvey,Выполняйте упражнения первой части серии: опора и плотный звук без форсирования. Часть 3 (динамика) уже есть в каталоге.,"Слабый, тихий голос.",начальный,да,https://www.youtube.com/watch?v=6alu-b5PH8Y,"How to sing with more power, Part 1 of 3",видео целиком об этом упражнении,
N-BR-11,Дыхательный челлендж «коуч против коуча»,Coach VS Coach Breath Challenge (Ep.63),BREATH,Tara Simon,"Вместе с видео тяните ноту или выдох как можно дольше, ровно и с опорой. Записывайте свой результат и старайтесь его улучшить.","Короткое дыхание, воздух быстро кончается.",начальный–средний,да,https://www.youtube.com/watch?v=lYUPmx2ouVs,"Coach VS Coach, Breath Challenge | Tutorials Ep.63 | Vocal Exercises",видео целиком об этом упражнении,
N-DI-01,"«Артикуляционная песня» (скороговорка на согласные), дуэт",Articulation Song (duet),DICTION,Cheryl Porter,"Повторяйте за коучем короткие фразы песенки-скороговорки с плотной цепочкой согласных. Сначала медленно (у Шерил Портер есть отдельная медленная версия), потом в темпе видео. Губы и язык работают активно, челюсть свободна.","Вялая дикция, «съеденные» согласные, скованные губы и язык, согласные не попадают в ритм.",средний,да,https://www.youtube.com/watch?v=Kyo6UJMwXpY,DUET The ARTICULATION SONG w/ Vocal Coach!!,видео целиком об этом упражнении,
N-DI-02,«Опасная» гласная I (дифтонг «ай»),The Deadly 'I' Vowel,DICTION,Justin Stoney,"На словах с английским I (I, my, fly) тяните первую гласную «а», а «й» добавляйте только в самом конце ноты. Отработайте это на высоких нотах.","Зажим и «растягивание» рта на словах с I или my, особенно на высоких нотах.",средний,да,https://www.youtube.com/watch?v=YAOqF2lc57Q,"Ep. 38 ""The Deadly I Vowel"" - Voice Lessons To The World",видео целиком об этом упражнении,
N-DI-03,Твёрдые (взрывные) согласные,Hard Consonants,DICTION,Justin Stoney,"Пойте фразы с t, k, p, d, g, b: согласная короткая и чёткая, произносится губами и языком, а звуковая линия между гласными не прерывается.","Согласные «съедаются» или, наоборот, ломают легато и зажимают горло.",начальный,да,https://www.youtube.com/watch?v=HXLZPvGWNeE,"Ep. 8 ""Hard Consonants"" - Voice Lessons To The World",видео целиком об этом упражнении,
N-FR-01,Исправление слабых или форсированных верхов,Weak or Forced High Notes fix,FREEDOM,Chris Liepe,Сначала определите свою проблему: верх слабый и придыхательный или крикливый и зажатый. Затем выполняйте упражнения из видео для своего случая.,"Верхние ноты либо слабые и придыхательные, либо крикливые и зажатые.",средний,да,https://www.youtube.com/watch?v=rs0hvP8vKdk,Weak or Forced High Notes? Here's how to fix them!,видео целиком об этом упражнении,
N-FR-02,Снятие напряжения с шеи перед пением,Release Neck Tension for Better Singing,FREEDOM,Dr Dan Robinson,"Найдите у себя привычки, которые зажимают шею (вытянутая голова, напряжённые жилы), и отпустите мышцы шеи с помощью приёмов из видео. Затем пойте, сохраняя это состояние.","Зажатая шея, жилы на шее при пении, привычное напряжение.",начальный,да,https://www.youtube.com/watch?v=l6ADWYta6mo,Release Neck Tension for better Singing | #DrDan,видео целиком об этом упражнении,
N-FR-03,6 приёмов снятия напряжения в голосе,6 Tension-Releasing Techniques,FREEDOM,Dr Dan Robinson,"Выполните по очереди шесть приёмов из видео, которые снимают напряжение с тела и голоса. Оставьте в своей распевке те, что помогают больше всего.","Общий зажим голоса, усталость и дискомфорт при пении.",начальный–средний,да,https://www.youtube.com/watch?v=ghTg4zFWp2A,Unleash Your Singing Voice: 6 Tension-Releasing Techniques | #DrDan,упражнение внутри распевки,
N-FR-04,Ежедневное укрепление голоса 3: защита и стабилизация,Daily Voice Strengthening 3: Protect & Stabilize,FREEDOM,Eric Arceneaux,"Выполняйте вместе с видео распевку из серии Daily Voice Strengthening. Цель в ровном, стабильном звуке без форсирования.","Звук «гуляет», неустойчив, голос быстро устаёт.",начальный,да,https://www.youtube.com/watch?v=r3aSbWqrIkU,"Daily Voice Strengthening 3: ""Protect & Stabilize""",упражнение внутри распевки,
N-FR-05,Положение языка при пении,Tongue Placement,FREEDOM,Freya Casey,"Следите, чтобы кончик языка лежал у нижних зубов, а корень не давил на гортань. Выполняйте упражнения из видео и сохраняйте это положение в пении.","Язык оттянут назад, зажат и давит на гортань.",начальный,да,https://www.youtube.com/watch?v=Rt8TUzLJNUw,Freya's Singing Tips: Tongue Placement,упражнение внутри распевки,
N-FR-06,«Развод» челюсти и языка,Jaw/Tongue: The Great Divorce,FREEDOM,Justin Stoney,"Двигайте челюстью и языком по отдельности: челюсть неподвижна, работает только язык, потом наоборот. Затем пойте фразу, сохраняя эту независимость.","Челюсть и язык зажимаются вместе, звук сдавлен, дикция скованная.",начальный,да,https://www.youtube.com/watch?v=9My3MNaDpa8,Ep. 55 Jaw/Tongue: The Great Divorce - Voice Lessons To The World,видео целиком об этом упражнении,
N-FR-07,Коррекция выдвижения челюсти вперёд,Jaw Thrust correction,FREEDOM,Justin Stoney,"Пойте восходящую фразу перед зеркалом и следите, чтобы нижняя челюсть не выезжала вперёд на высоких и громких нотах. Челюсть свободно опускается вниз и назад.","Челюсть «выезжает» вперёд, появляется напряжение в шее и гортани.",начальный,да,https://www.youtube.com/watch?v=GOOQx8NTZ-4,"Ep. 35 ""Jaw Thrust"" - Voice Lessons To The World",видео целиком об этом упражнении,
N-FR-08,Коррекция оттянутого назад языка,Tongue Retraction fix,FREEDOM,Justin Stoney,"Пойте, держа кончик языка у нижних зубов, а спинку языка свободной. Следите, чтобы корень языка не уходил назад в горло, особенно на верхних нотах.","Звук «в горле», глухой и зажатый, потому что язык оттянут назад.",начальный,да,https://www.youtube.com/watch?v=pcFK4BvAOlY,"Ep. 33 ""Tongue Retraction"" - Voice Lessons To The World",видео целиком об этом упражнении,
N-FR-09,Опускание гортани,Lowering The Larynx,FREEDOM,Justin Stoney,"С помощью приёмов из видео (ощущение начала зевка, тёмная гласная) держите гортань в спокойном, невысоком положении на подъёме по диапазону. Не давите гортань вниз силой.","Гортань «прыгает» вверх на высоких нотах, звук пережатый и писклявый.",средний,да,https://www.youtube.com/watch?v=y4OWZ8JYy74,"Ep. 17 ""Lowering The Larynx"" - Voice Lessons To The World",видео целиком об этом упражнении,
N-FR-10,Как правильно выполнять базовые упражнения (главная ошибка),#1 Mistake Singers Make with Basic Exercises,FREEDOM,Kevin Richards,"Посмотрите разбор главной ошибки и повторите базовые упражнения, исправив её: осознанно, без зажима, с контролем звука.",Упражнения делаются механически или с зажимом и не дают результата.,начальный,да,https://www.youtube.com/watch?v=mOksAyEhvxE,#1 Mistake Singers Make - How to do Basic Singing Exercises - Kevin Richards,видео целиком об этом упражнении,
N-FR-11,Гласные при свободной челюсти,Relaxed-jaw vowel enunciation (Stop Vocal Strain),FREEDOM,Kevin Richards,"Выговаривайте и пропевайте гласные при расслабленной челюсти, не растягивая широко рот и лицо.","Зажатая челюсть, перенапряжение и «растянутые» гласные.",начальный,да,https://www.youtube.com/watch?v=MBcNz0pz9Jw,Free Singing Lessons / Stop Vocal Strain / Rock the Stage NYC,видео целиком об этом упражнении,
N-ON-01,Смыкание связок (Brett Manning),Vocal Cord Closure (Brett Manning),ONSET,Brett Manning (Singing Success),"Выполняйте упражнения из видео на плотное смыкание связок: звук чистый, без воздуха, но и без пережима.","Воздушный, «дырявый» звук, утечка воздуха.",средний,после показа педагогом,https://www.youtube.com/watch?v=v3zd8wHZsXY,Learn To Sing - Brett Manning - Vocal Cord Closure,видео целиком об этом упражнении,
N-ON-02,Профессиональная тренировка 2: укрепление голоса,Professional Vocal Workout 2: Voice Strengthening,ONSET,Eric Arceneaux,"Выполняйте вместе с видео силовую часть тренировки: плотное смыкание без пережима, ровный звук по гаммам. Это другое видео, не Warmup 4 из каталога.","Слабый, «тонкий» голос без плотности и выносливости.",средний,да,https://www.youtube.com/watch?v=HQTureBISTg,"Professional Vocal Workout - Part 2 ""Voice Strengthening""",упражнение внутри распевки,
N-ON-03,Упражнения на смыкание связок (Freya Casey),Vocal Cord Closure Exercises (Freya Casey),ONSET,Freya Casey,"Выполняйте упражнения из видео на чистое смыкание: звук без лишнего воздуха, мягкая, но точная атака.","Воздушный, «дырявый» звук, слабое смыкание связок.",начальный–средний,да,https://www.youtube.com/watch?v=E8yNPD8tLZQ,Freya's Singing Tips: Vocal Cord Closure Exercises,видео целиком об этом упражнении,
N-PI-01,"Весёлая распевка на ритм, синкопы и интонацию","FUN Vocal Exercise (tempo, syncopation, intonation)",PITCH,Cheryl Porter,Пойте вместе с коучем ритмичную фразу с синкопами. Попадайте в доли точно и не теряйте высоту нот на смещённых акцентах.,"Неточная интонация в ритмичных фразах, «квадратный» ритм без синкоп.",начальный–средний,да,https://www.youtube.com/watch?v=pj219prQH00,FUN Vocal Exercise (Cheryl Porter Vocal Coach),видео целиком об этом упражнении,да
N-PI-02,Приём для улучшения интонации,Secret Way To Improve Pitch,PITCH,Ken Tamplin,"Выполняйте приём из урока: слушайте ноту и попадайте в неё, проверяйте себя и сразу поправляйте высоту.","Неточная интонация, заниженные или завышенные ноты.",начальный,да,https://www.youtube.com/watch?v=GSc_iigBSOk,Secret Way To Improve Pitch - Ken Tamplin Vocal Academy,видео целиком об этом упражнении,
N-PI-03,Упражнение на точность интонации (Singing Basics 5),Better Pitch (Singing Basics 5),PITCH,Kevin Richards,"Пойте упражнение из урока за фортепиано, внимательно слушайте каждую ноту и сразу поправляйте высоту.","Неточное попадание в ноты, интонация «съезжает».",начальный,да,https://www.youtube.com/watch?v=3sXws2-Fosk,Singing Basics 5 - Better Pitch - Vocal Lessons - Kevin Richards,видео целиком об этом упражнении,
N-RA-01,Дуэт-распевка на диапазон и темп,Vocal Exercise Duet for Range & Tempo,RANGE,Cheryl Porter,"Повторяйте фразу за коучем. С каждым повтором она поднимается на полтона, а темп растёт. Если на верху появляется напряжение, остановитесь на удобной тональности.","Узкий диапазон, потеря точности при ускорении, напряжение при подъёме по тональностям.",средний,да,https://www.youtube.com/watch?v=PQynEer2JAY,Vocal Exercise DUET for RANGE & TEMPO w/Vocal Coach Cheryl Porter,видео целиком об этом упражнении,
N-RA-02,Распевка для сопрано,Vocal Exercise for Sopranos,RANGE,Cheryl Porter,"Пойте за коучем паттерн в высокой, сопрановой тесситуре. Верхние ноты берите лёгким головным звуком, не прибавляя громкости.","Зажатый верх у высоких женских голосов, неровный переход в головной регистр.",средний,"да, если не форсировать громкость на верхних нотах",https://www.youtube.com/watch?v=c-qin9xvSNY,Vocal Exercise for SOPRANOS w/ Cheryl Porter Vocal Coach!!,видео целиком об этом упражнении,
N-RA-03,Петь выше за 3 шага,Sing Higher Well in 3 Steps,RANGE,Chris Liepe,"Выполните трёхшаговую последовательность из видео и примените её к нотам, которые раньше не получались.","Потолок диапазона, недоступные верхние ноты.",средний,да,https://www.youtube.com/watch?v=6vXuXLL9uo8,Sing Higher WELL (QUICKLY) in 3 Steps. Instantly Unlock Notes That Were Off Limits!,видео целиком об этом упражнении,
N-RA-04,Пошаговый план отработки высоких фраз в песне,High Notes & Phrases Step-by-Step Practice Plan,RANGE,Chris Liepe,"Возьмите трудную высокую фразу из песни и пройдите её по плану из видео: упрощённый вариант, затем постепенное возвращение к оригиналу, без напряжения.",Высокие фразы в песнях даются с напряжением.,средний,да,https://www.youtube.com/watch?v=uChTcCFYyVw,How to Sing High Notes & Phrases (Without Strain) Step by Step Practice Plan,видео целиком об этом упражнении,
N-RA-05,Высокие ноты и белтинг с минимальным напряжением,You will sing HIGHER after this! (low-strain belting),RANGE,Dr Dan Robinson,"Выполняйте упражнения из видео: поднимайтесь выше и белтите с наименьшим усилием в горле, опираясь на дыхание и резонанс.","Зажим и крик на высоких нотах, узкий диапазон.",средний–продвинутый,после показа педагогом,https://www.youtube.com/watch?v=jR0a9q9re20,You will sing HIGHER after this! | #DrDan,видео целиком об этом упражнении,
N-RA-06,Как петь высокие ноты (урок Арсено),How To Sing High Notes (Eric Arceneaux),RANGE,Eric Arceneaux,"Выполняйте упражнения урока на подъём вверх: без крика, с опорой и свободным горлом. Верх берите так громко, как получается без усилия.",Зажим и крик на верхних нотах.,средний,после показа педагогом,https://www.youtube.com/watch?v=5Vv0WAvtIig,How To Sing - High Notes,видео целиком об этом упражнении,
N-RA-07,Три способа взять высокую ноту,How to Sing High Notes in 3 Different Ways,RANGE,Freya Casey,Спойте одну высокую ноту тремя способами из видео и сравните тембр и ощущения. Выбирайте способ под характер песни.,"Верх берётся одним «зажатым» способом, нет выбора тембра на высоких нотах.",средний,после показа педагогом,https://www.youtube.com/watch?v=pEJ4xWtONlE,Freya's Singing Tips - How to sing high notes in 3 different ways,упражнение внутри распевки,
N-RA-08,Упражнение для верхних нот (серия High Notes),High Notes Vocal Exercise,RANGE,Jacobs Vocal Academy,"Пойте за фортепиано восходящий паттерн в верхний регистр. Остановитесь там, где появляется напряжение. В серии есть и другие варианты паттерна (например, №5).",Зажим и «потолок» на верхних нотах.,средний,да,https://www.youtube.com/watch?v=qqVgY_6C0Bg,High Notes Vocal Exercise,видео целиком об этом упражнении,
N-RA-09,Опора дыхания для расширения диапазона,Increase Vocal Range with Diaphragmatic Support,RANGE,Ken Tamplin,"На восходящих упражнениях чем выше нота, тем активнее включайте опору, а горло оставляйте свободным.","Верхние ноты берутся горлом, а не опорой.",средний,да,https://www.youtube.com/watch?v=Wv3T-xA28fE,Increase Vocal Range with Diaphragmatic Support - Ken Tamplin Vocal Academy,видео целиком об этом упражнении,
N-RA-10,Простой способ расширить диапазон,Add Vocal Range – Easy Way,RANGE,Kevin Richards,"Выполняйте упражнение из урока и понемногу, по полтона, расширяйте диапазон вверх и вниз без напряжения.","Узкий диапазон, страх верхних нот.",начальный–средний,да,https://www.youtube.com/watch?v=RvIeo9NPGec,VOICE LESSON : ADD VOCAL RANGE - Easy Way - Kevin Richards Singing Lessons NYC,видео целиком об этом упражнении,
N-RA-11,Высокие ноты с силой,How to sing high with power,RANGE,Madeleine Harvey,"Выполняйте упражнения урока: верхние ноты с плотным звуком и опорой, громкость наращивайте постепенно, без крика.","Высокие ноты звучат слабо или «пусто», не хватает силы наверху.",средний,после показа педагогом,https://www.youtube.com/watch?v=VdhvIO1f4Qk,How to sing high with power,видео целиком об этом упражнении,
N-RG-01,"Беглость, соединение регистров и гласные (урок на итальянском)","Agility, register connection & vowels workout (Italian)",REGISTER,Cheryl Porter,"Пойте подвижные пассажи через переход между грудным и головным регистром. Гласные сохраняют одинаковую форму на всём пассаже. Урок на итальянском, упражнения понятны по показу.","«Ломка» между грудным и головным регистром, неровные гласные на переходе.",средний,да,https://www.youtube.com/watch?v=-wQRr8NFIDI,"Cheryl Porter Vocal Workout - Agilità vocale, collegamento registri e vocali",видео целиком об этом упражнении,да
N-RG-02,"Простой приём, чтобы найти микст",Easily Find Your Mixed Voice (tip),REGISTER,Chris Liepe,Выполните приём из видео на переходной зоне. Он подходит для любого типа голоса и помогает соединить грудной и головной звук.,"Разрыв между грудным и головным, микст не находится.",начальный,да,https://www.youtube.com/watch?v=6lz8oo6WMZQ,"Easily Find Your MIXED VOICE With THIS Tip (Sing With More Range, Any Voice Type)",видео целиком об этом упражнении,
N-RG-03,Совмещение микста и белта,Mixed Voice and Belting: Blend the Approaches,REGISTER,Chris Liepe,"Пойте одну фразу то в миксте, то в белте и учитесь плавно переходить между ними без слома и зажима.","Выбор «или микст, или белт»; белт ломается при переходе в микст.",продвинутый,только с педагогом,https://www.youtube.com/watch?v=kjqqwmtO3_M,"Mixed Voice and Belting: (BLEND the Approaches) How to Sing With Both. Expand Range, Sing Freely!",видео целиком об этом упражнении,
N-RG-04,Укрепление фальцета,How to Strengthen Your Falsetto,REGISTER,Dr Dan Robinson,"Работайте с фальцетом как с отдельным регистром: пойте упражнения из видео, добавляя звуку устойчивости и контроля. Не путайте фальцет с головным голосом.","Слабый, неустойчивый, воздушный фальцет; мало контроля в верхнем лёгком регистре.",средний,да,https://www.youtube.com/watch?v=x5-QoU4RlhM,How to Strengthen Your Falsetto Singing Voice | #DrDan,видео целиком об этом упражнении,
N-RG-05,"Сравнение грудного, головного и микста","Chest, Head & Mixed Voice Comparison",REGISTER,Dr Dan Robinson,"Спойте одну и ту же фразу поочерёдно грудным голосом, головным и микстом. Услышьте и почувствуйте разницу между ними.","Певец не различает регистры и не понимает, что такое микст.",начальный–средний,да,https://www.youtube.com/watch?v=CAGR81QFIj0,"Discover the Difference: Chest, Head, & Mixed Voice Comparison | #DrDan",видео целиком об этом упражнении,
N-RG-06,5 упражнений на микст,5 Exercises for Mixed Voice,REGISTER,Freya Casey,"Выполняйте по порядку пять упражнений из видео, которые помогают найти и укрепить микст на переходе.","Разрыв между грудным и головным, микста нет.",средний,да,https://www.youtube.com/watch?v=M5IROVRV86c,Freya's Singing Tips: 5 exercises for Mixed Register / Mixed Voice,видео целиком об этом упражнении,
N-RG-07,Упражнение на переход между головным и грудным голосом,Exercise for Transition Between Head & Chest Voice,REGISTER,Freya Casey,"Пойте упражнение из видео через зону перехода вверх и вниз. Выравнивайте громкость и тембр, чтобы смена регистра не была слышна.","Голос срывается или «ломается» на переходе, регистры меняются резко.",средний,да,https://www.youtube.com/watch?v=P_l0migS4mQ,Freya's Singing Tips: EXERCISE For Transition Between HEAD VOICE & CHEST VOICE,видео целиком об этом упражнении,
N-RG-08,5 лучших упражнений для белтинга,The 5 Best Exercises for Belting,REGISTER,Freya Casey,"Выполняйте пять упражнений из видео в удобной тесситуре, высоту поднимайте постепенно. Звук громкий, но горло свободно.","Крикливый, зажатый белт; не хватает мощи.",продвинутый,только с педагогом,https://www.youtube.com/watch?v=m9IQoJBhO8w,Freya's Singing Tips: The 5 best exercises for BELTING,видео целиком об этом упражнении,
N-RG-09,Упражнение на белтинг №1,Belting Vocal Exercise #1,REGISTER,Jacobs Vocal Academy,"Пойте за фортепиано вход в белт в удобной тесситуре: речевой, «кричащий» характер звука, но без зажима. В серии есть и более высокие варианты (например, №5).",Не получается громкий грудной или миксовый белт.,средний–продвинутый,только с педагогом,https://www.youtube.com/watch?v=HglJsyQswwA,Belting Vocal Exercise #1,видео целиком об этом упражнении,
N-RG-10,Фальцет против головного голоса (контраст),Falsetto vs. Head Voice,REGISTER,Justin Stoney,"На одной и той же высоте поочерёдно пойте придыхательным фальцетом и плотным, сомкнутым головным голосом. Прислушайтесь и почувствуйте разницу в смыкании связок.","Путаница между фальцетом и головным голосом, верх звучит только с придыханием.",средний,да,https://www.youtube.com/watch?v=qxQOespT4Bs,"Ep. 21 ""Falsetto Vs. Head Voice"" - Voice Lessons To The World",видео целиком об этом упражнении,
N-RG-11,Йодль: переключение регистров,Yodel register switching,REGISTER,Justin Stoney,"Намеренно «перещёлкивайтесь» из грудного голоса в головной и обратно, как в йодле. Звук лёгкий, без нажима. Так регистры разделяются и учатся согласованно работать вместе.","Страх «сломов», грудной и головной не разделены и не координируются.",средний,да,https://www.youtube.com/watch?v=2eSbUlbLTKw,"Ep. 23 ""Benefits Of Yodeling"" - Voice Lessons To The World",видео целиком об этом упражнении,
