title,authors,year,venue,method,sample,topic,relevance,link,fulltext_url,why_relevant
AI-assisted feedback and reflection in vocal music training: effects on metacognition and singing performance,"Li, Cui, Manoharan, Dai, Liu, Huang",2025,Frontiers in Psychology,Смешанные методы: квазиэксперимент 6 недель + интервью/рефлексивные записи,"80 будущих учителей музыки 18–21 лет (38 эксп., 42 контр.), провинция Гуйчжоу, Китай","Запись себя + ИИ-обратная связь (чат-бот Yuanbao, инструмент сравнения аудио)",5,https://doi.org/10.3389/fpsyg.2025.1598867,https://pmc.ncbi.nlm.nih.gov/articles/PMC12400964/,"Метакогниция выросла, а пение — нет (разница групп незначима). Цитаты: ""By recording, I felt that I would pay attention to little details...I often compared the teacher's recording with my own.""; ""Transitioning from aimless practice to having comparable recordings allows us to see whether our progress reflects improvement."" Прямо про запись себя и «бесцельную практику» дома"
2021 COVID Pandemic Survey Report (NATS & PracticeCraft),National Association of Teachers of Singing; PracticeCraft,2021,NATS (industry report),"Survey of NATS members and the wider singing industry (Q2 2021) with open answers; more than 1,400 open 'lessons learned' responses coded into 50 categories","1,538 singing teachers and industry professionals (mainly USA/NATS)","Online singing lessons, loss of income, challenges and isolation during COVID",5,https://nats.org/cgi/page.cgi/_article.html/What_s_New/Majority_of_singing_teachers_plan_to_teach_online_post-pandemic_according_to_survey,https://www.nats.org/_Library/COVID_19_Resource_Docs/2021_COVID_Pandemic_Survey_Report_v19_HiRes.pdf,"Largest survey specific to singing teachers. 17% taught remotely before the pandemic and about 60% plan to continue. 59% lost income, and 34% changed or lost a job. Verbatim quotes from the PDF: 'Teaching remotely, while imperfect, is very doable.'; 'It's not pleasant, but it's possible. Remote performing is not good. Internet lag is awful.'; 'Remote lessons are different. Not as good as in-person lessons, but they work, and many students who could not get here in person studied more regularly remotely.' Directly relevant to Voice Family's online format."
Compassionate Music Teaching with Adults Learning Recreationally in Lessons: A Narrative Inquiry,"Leahy, Kaitlyn Sarah",2024,"DMA dissertation, Boston University (ERIC ED645014)","Qualitative narrative inquiry: two semi-structured interviews per participant (average 66 minutes), lesson observations (live or on video) and artifacts","USA: 5 private music teachers of recreational adult learners (Emily, Sage, Blaze, Dan, Elaine); instruments vary","Teaching adult recreational learners in one-to-one lessons: adult-specific needs, relationship, learner autonomy",5,https://hdl.handle.net/2144/47893,https://open.bu.edu/server/api/core/bitstreams/800d981a-96bd-4037-bcec-f1e8bb8eba58/content,"A rare study of teaching adults (not children) in private lessons, which is Voice Family's core segment. It describes how teachers adapt to adults' lives, prior experience and identity, and leave room for the learner's voice in decisions. Full text is open, so verbatim teacher quotes can be pulled."
Fostering singing agency through emotional differentiation in an inclusive singing environment,Lauri A. Hogle,2021,Research Studies in Music Education,"Феноменология, нарративный анализ интервью","15 взрослых, называющих себя non-singers и испытывающих дискомфорт от пения при других; США (из аннотации)","Singing agency, стыд, «ранящие» эпизоды, стратегии защиты, личные определения «хорошего пения»",5,https://doi.org/10.1177/1321103X20930426,,"Прочитана только аннотация (ERIC EJ1301562). Темы: ранящие эпизоды → ощущение дефицита, «инвалидности» и стыда; личные стратегии защиты singing agency; препятствия; собственные определения хорошего пения. Прямо про сегмент «я не умею петь» и про безопасную среду. Цитат нет."
I have a voice but I just can't sing: a narrative investigation of singing and social anxiety,Carlos R. Abril,2007,Music Education Research 9(1),"Нарративное исследование: дневники участниц, интервью, полевые записи за 10 недель",3 студентки педагогического направления (elementary education) с тревогой при пении; США,"Singing anxiety, социальная тревога, корни в школьной музыке",5,https://doi.org/10.1080/14613800601127494,,"Прочитаны аннотация и описания из выдачи. Тревога возникает только в социальном контексте, из-за страха оценки (self-presentation theory). Все участницы связывают её с негативным опытом в школьной музыке; главные источники убеждений — учителя музыки и семья. Цитат нет."
Examining the Empathic Voice Teacher,"Fletcher, Heather; Davidson, Jane W.; Krause, Amanda E.",2024,Research Studies in Music Education (ERIC EJ1432907),Интервью + наблюдение индивидуальных уроков; интерпретативный феноменологический анализ (IPA),"27 педагогов классического вокала и мюзикла, Австралия (70% женщины, 35–75 лет); 7 из них наблюдались на уроках","Отношения педагог–студент, коммуникация и обратная связь на уроке",5,https://doi.org/10.1177/1321103X231172065,,"Интервью и наблюдения вокальных педагогов: как они подстраивают обратную связь под студента (эмпатия, коммуникация, забота). Полезно для сценария интервью с педагогами. Прочитана только аннотация, цитат нет."
An Analysis of the Impact of Teacher Feedback on Voice Students' Self-Determination,"Kress, Ollie",2024,Contributions to Music Education (ERIC EJ1428148),"Кейс-стади: наблюдения уроков, индивидуальные интервью с педагогом и студентами, анализ материалов",1 частный педагог вокала и 3 его студента; страна по аннотации не указана (журнал США),"Обратная связь педагога и мотивация студентов (автономия, компетентность, связанность)",5,https://eric.ed.gov/?id=EJ1428148,,"Прямо про обратную связь в частной вокальной студии: на самоопределение студентов влияли автономия, компетентность, связанность, уверенность, внешнее одобрение и позитивное подкрепление. Выборка маленькая; прочитана только аннотация."
"""Singing-it-Safe"": Using the Behavior Change (COM-B) Model to Understand Australian Conservatorium Singing Students' Vocal Health Behaviors","Lau, Timothea; Bickford, J.; Mitchell, Helen F.",2026,Journal of Voice,"Итеративные полуструктурированные интервью, тематический анализ по модели COM-B","Педагоги вокала, студенты-вокалисты и логопеды-фониатры, Австралия (консерватория Сиднейского университета); число участников в аннотации не указано",Здоровье голоса студентов-вокалистов,5,https://doi.org/10.1016/j.jvoice.2026.01.023,,"Студентам не хватает знаний анатомии и физиологии, поэтому они слабо соблюдают вокальную гигиену, не могут описать проблему и не спешат к специалисту. Педагоги заботятся о студентах, но им трудно сделать понятия о здоровье голоса доступными. Статья, вероятно, в открытом доступе (© The Authors), но ScienceDirect вернул 403. Продолжения: программа Singing-it-Safe (Delphi, 2026) и её оценка (2026)."
Characteristics of Independent Music Teachers,"Upitis R., Abrami P.C., Brook J., Boese K., King M.",2017,Music Education Research,опрос (self-report survey),"1 468 частных (independent) музыкальных педагогов, Канада","профиль частных педагогов, практики студии, родители, практика учеников, цифровые инструменты, повышение квалификации",5,https://doi.org/10.1080/14613808.2016.1204277 (ERIC EJ1140818),,"Крупнейший опрос именно частных педагогов: сами педагоги называют главной трудностью мотивировать учеников заниматься дома (practise); описывают, как родители поддерживают обучение; отношение к цифровым инструментам сильно разнится. Прямо про нашу ЦА. Полный текст закрыт (Unpaywall: not OA), выводы по аннотации ERIC."
Parental involvement in children's independent music lessons,"Upitis R., Abrami P.C., Brook J., King M.",2016,Music Education Research,"из аннотации неясно (аннотация в Crossref отсутствует; тот же канадский исследовательский проект, что и Characteristics of IMTs)",из аннотации неясно,участие родителей в частных уроках музыки,5,https://doi.org/10.1080/14613808.2016.1202220,,"Единственная найденная работа, прямо посвящённая роли родителей именно в независимых (частных) студиях — ключевая для болей про родителей и домашнюю практику. Полный текст закрыт, нужно искать версию автора (Queen's University)."
An Examination of Methods Used to Teach Practice Strategies in the College Voice Studio,Melissa Baughman,2017,Update: Applications of Research in Music Education,"опрос (анкета, составленная автором)",46 преподавателей вокала в аккредитованных вузах трёх штатов Среднего Запада США,вокальные студии в вузах: как учат студентов заниматься самостоятельно,5,https://doi.org/10.1177/8755123315593325 (ERIC EJ1125011),,"Прогресс отслеживают через дневники и журналы занятий, а единого метода обучать студентов-вокалистов самостоятельным занятиям не выявлено. Это аргумент за структурированную домашнюю практику с обратной связью. Прочитана только аннотация."
Collaborative learning and choral confidence: the role of peer interactions in building confident amateur choirs,Michael Bonshor,2020,"Music Performance Research, vol. 10",3 фокус-группы и 16 полуструктурированных интервью (40 часов),"Взрослые хористы-любители, Великобритания (та же выборка, что в статье 2017 года)","Уверенность, взаимное обучение, поддержка сверстников",4,https://musicperformanceresearch.org/wp-content/uploads/2020/12/MPR-0142-Bonshor-copyedited_FINAL.pdf,https://musicperformanceresearch.org/wp-content/uploads/2020/12/MPR-0142-Bonshor-copyedited_FINAL.pdf,"Полный текст прочитан. Уверенность растёт через командную работу, взаимное обучение и неформальных лидеров. Цитаты: ""I'll never be able to do this — I can't do this""; ""I'm dreading this, I'm absolutely dreading this, because I know I just don't know this"" → ""I did it!""; ""Yeah, they think it's OK too! I'm not completely doolally"". Аргумент в пользу сообщества и peer-поддержки."
Creating Space for Reflection: Meaning-Making Feedback in Instrumental/Vocal Lessons,"Sandberg-Jurström, Ragnhild",2022,Frontiers in Education,"Видеонаблюдение уроков, социально-семиотический анализ (речь, тело, музыка)","18 видеозаписанных уроков: 6 педагогов и 6 студентов педагогического направления, одно музыкальное учебное заведение, Швеция; вокал и инструменты",Типы обратной связи: «договаривающаяся» (рефлексия студента) vs «контролирующая» (повтори за мной),4,https://doi.org/10.3389/feduc.2022.842337,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2022.842337/full,"Наблюдения показывают, что традиция «мастер–подмастерье» ограничивает рефлексию студента, хотя учреждение требует её развивать. Аргумент за инструменты, которые поддерживают самостоятельную рефлексию. Смешанная выборка: вокал и инструменты."
Gesture as a Tool of Communication in the Teaching of Singing,"Nafisi, Julia",2010,Australian Journal of Music Education (ERIC EJ916794),"Видеонаблюдение уроков пения, категоризация жестов","Уроки 5 педагогов уровня консерватории (Conservatorium); страну в аннотации не проверял — вероятно, Австралия","Образы, метафоры и жесты vs фактическое (научное) объяснение на уроке",4,https://eric.ed.gov/?id=EJ916794,https://files.eric.ed.gov/fulltext/EJ916794.pdf,"Описывает давний спор «фактического» и «образного» стиля преподавания и показывает, что жесты работают как визуализация образов и физиологии. Полезно для визуальной обратной связи. PDF скачивается (HTTP 200), текст не разобран."
Gestures and Body-Movements in the Teaching of Singing: A Survey into Current Practice in Australia and Germany,"Nafisi, Julia S. A.",2014,Australian Journal of Music Education (ERIC EJ1061970),Опрос членов двух профессиональных ассоциаций педагогов вокала,Педагоги вокала из Германии и Австралии; размер выборки в аннотации не указан,Невербальные и образные средства обратной связи на уроке,4,https://eric.ed.gov/?id=EJ1061970,https://files.eric.ed.gov/fulltext/EJ1061970.pdf,"Большинство педагогов регулярно используют жесты, чтобы объяснить физиологию и музыкальные идеи, и просят студентов повторять эти движения. Отмечен большой разброс и индивидуальность приёмов, то есть отсутствие единого языка. Близкая версия — EJ1016900 (BJME 2013, только Германия)."
In-Person or Virtual? Assessing the Impact of COVID-19 on the Teaching Habits of Voice Pedagogues,"Murdaugh, K.; Hausknecht, J. B.; Herbst, C. T.",2022 (online 2020),Journal of Voice 36(5),Международный онлайн-опрос (апрель–май 2020),"387 педагогов вокала, разные страны",Онлайн-уроки вокала: что можно и нельзя оценить дистанционно,4,https://doi.org/10.1016/j.jvoice.2020.08.027,https://pmc.ncbi.nlm.nih.gov/articles/PMC7553062/,"Педагоги лишь умеренно довольны онлайн-уроками. Хуже всего по видеосвязи оцениваются чисто акустические параметры (динамический диапазон, спектр), потому что стандартные платформы оптимизированы под речь. Это прямой аргумент за инструменты анализа звука."
The Use of Digital Tools by Independent Music Teachers,"Upitis R., Abrami P.C., Boese K.",2016,IADIS International Conference on Mobile Learning (ERIC ED571442),опрос (с открытыми ответами),"1 468 частных педагогов, Канада","цифровые инструменты, саморегуляция учеников между уроками",4,https://eric.ed.gov/?id=ED571442,https://files.eric.ed.gov/fulltext/ED571442.pdf,"Показывает, что частные педагоги ценят цифровые инструменты для саморегуляции практики учеников, но есть группа, которая категорически против технологий на уроках, — прямой сигнал для позиционирования и онбординга продукта. PDF открывается (HTTP 200)."
Parting Ways With Piano Lessons: Comparing Motivation Between Continuing and Dropout Piano Students,"Gerelus K., Comeau G., Swirp M., Huta V.",2020,"Bulletin of the Council for Research in Music Education, No. 225","опрос, сравнение продолжающих и бросивших (теория самодетерминации)","из аннотации неясно (канадские ученики фортепиано; вероятно, связано с выборкой 2017 года)",мотивация и отсев учеников фортепиано,4,https://doi.org/10.5406/bulcouresmusedu.225.0045,https://static1.squarespace.com/static/5b885f5431d4df9709f6ebf5/t/601e235a5ec1fc131bcef17f/1612587867460/BCRME+Summer+2020+Gerelus.pdf,"Продолжение работы о том, почему бросают: сравнение мотивации. Аннотация начинается с 'Piano teachers believe that dr…' — сопоставляет убеждения педагогов с данными. PDF открывается (копия JSTOR на сайте автора; HTTP 200), текст прочитан только частично."
The key reasons for dropout in Slovenian music schools – a qualitative study,"Kavčič Pucihar M., Habe K., Rotar Pance B., Laure M.",2024,Frontiers in Psychology,"полуструктурированные фокус-группы, качественный контент-анализ","6 бросивших учеников (7–14 лет), 6 родителей, 6 педагогов по инструменту, 6 педагогов по теории, 5 директоров; Словения (государственные музыкальные школы)","причины отсева: конкуренция с другими занятиями, подход педагога, автономия/компетентность/связанность",4,https://doi.org/10.3389/fpsyg.2024.1385840,https://pmc.ncbi.nlm.nih.gov/articles/PMC11170109/,"Качественные данные с дословными цитатами всех сторон (прочитано через PMC): 'There are lots of activities... It is exhausting, and then one thing has to fall away. Typically, this is the music school.'; 'We have a gap between what is taught in music school and what they would like to learn.' Не частные студии, но механизм отсева переносим."
Interaction in instrumental learning: the influence of interpersonal dynamics on parents,"Creech A., Hallam S.",2009,International Journal of Music Education 27(2),опрос (часть британского исследования; системная теория),"родители учеников, изучающих инструмент (скрипка), Великобритания; точное число из аннотации неясно","треугольник педагог–ученик–родитель, удовлетворённость родителей",4,https://doi.org/10.1177/0255761409102318,https://discovery.ucl.ac.uk/id/eprint/1507445/1/Creech2009Interaction94.pdf,"Удовлетворённость родителей сильнее всего зависит от межличностных факторов: воспринимаемого лидерства педагога, амбиций родителей и взаимности в общении — прямо про коммуникацию с родителями в частной студии. PDF открывается (UCL Discovery, HTTP 200)."
Parental Support in the Development of Young Musicians: A Teacher's Perspective from a Small-Scale Study of Piano Students and Their Parents,Margiotta M.,2011,Australian Journal of Music Education (ERIC EJ952004),"кейс-стади, наблюдение (педагог-исследователь)","34 родителя и 34 ученика фортепиано автора в частной студии, частной школе и консерватории; Австралия",поддержка родителей на уроках и в домашней практике,4,https://eric.ed.gov/?id=EJ952004,https://files.eric.ed.gov/fulltext/EJ952004.pdf,"Наблюдение изнутри частной студии за тем, как участие родителей на уроках и в практике влияет на результаты, и как дети к этому относятся. PDF открывается (HTTP 200)."
Improving Students' Intrinsic Motivation in Piano Learning: Expert Teacher Voices,"Cheng Z., Southcott J.",2016,Australian Journal of Music Education (ERIC EJ1146385),интервью (феноменологический кейс-стади),"3 опытных педагога фортепиано, Австралия","внутренняя мотивация учеников, удержание",4,https://eric.ed.gov/?id=EJ1146385,https://files.eric.ed.gov/fulltext/EJ1146385.pdf,Стратегии опытных частных педагогов для поддержания мотивации и продолжения занятий; есть голоса педагогов. Выборка маленькая. PDF открывается (HTTP 200).
Burnout and Perceived Agency among Texas Choir Teachers,"Jessica Nápoles, Jamey Kelley, Thomas J. Rinn",2023,Journal of Research in Music Education 71(3),опрос (Maslach Burnout Inventory и шкала воспринимаемой агентности учителя) плюс регрессионный анализ,"151 учитель хора, Техас, США",выгорание учителей хора,4,https://doi.org/10.1177/00224294221126889 (ERIC EJ1392795),https://journals.sagepub.com/doi/pdf/10.1177/00224294221126889?download=true,"Эмоциональное истощение предсказывают низкая воспринимаемая агентность, работа в школе Title 1, небольшой стаж и часы подработки. Отсюда видно, какие боли учителей хора (нагрузка, контроль) продукт может снять. Прочитана только аннотация."
Dissonance in the Studio: An Exploration of Tensions within the Apprenticeship Setting in Higher Education Music,Kim Burwell,2016,International Journal of Music Education,"кейс-стади (видеозапись уроков с детальной транскрипцией, анкета, интервью)","1 студент вуза, недовольный подходом своего преподавателя (часть более широкого проекта, Великобритания)",индивидуальные занятия в вузе (студии): конфликт между студентом и педагогом,4,https://doi.org/10.1177/0255761415574124 (ERIC EJ1120380),https://unsworks.unsw.edu.au/bitstreams/be8df417-cd29-42cd-b3e3-d62a4328a113/download,"Проблемы коммуникации и негибкости в студии один на один. Прямо касается болей студентов-вокалистов из-за обратной связи педагога. PDF открывается (HTTP 200), можно брать цитаты."
Issues of Dissonance in Advanced Studio Lessons,Kim Burwell,2019,Research Studies in Music Education,качественное исследование (интервью и наблюдение уроков),"2 студента вуза, недовольные своими педагогами (Великобритания)","индивидуальные занятия в вузе: соотношение видов работы на уроке, очерёдность реплик, поддержка",4,https://doi.org/10.1177/1321103X18771797 (ERIC EJ1211849),https://unsworks.unsw.edu.au/bitstreams/42909473-40a8-45c8-b9fc-7edaaa82f76a/download,"Показывает, как выглядит плохой урок: кто сколько говорит, есть ли поддержка. Годится для чек-листа наблюдения урока и вопросов в собственных интервью. PDF открывается (HTTP 200)."
Effects of Visual and Auditory Feedback in Violin and Singing Voice Pitch Matching Tasks,"Blanco A.D., Tassani S., Ramirez R.",2021,Frontiers in Psychology 12:684693,Рандомизированный эксперимент,"47 начинающих взрослых (~28–31 лет) + 15 экспертов-скрипачей, Испания","Визуальная обратная связь по высоте тона vs слуховая, у новичков",4,https://doi.org/10.3389/fpsyg.2021.684693,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2021.684693/full,"Визуальный дисплей высоты + знание результата дал устойчивое улучшение (81–105 центов) при переносе, слуховая подсказка — эффект только во время помощи. Ссылается на прежние интервью: слуховая обратная связь не показывает, в какую сторону исправлять. Прямых цитат нет"
Risks and Rewards of Individual Online Music Lessons: Teachers' Perspectives,Pike P.D.,2021,International Journal of Innovations in Online Education,Смешанные методы: опрос + 9 кейс-интервью,"80 частных/независимых педагогов музыки (в т.ч. вокал, преобладает фортепиано), Луизиана, США",Частные онлайн-уроки: кто остался онлайн и почему,4,https://doi.org/10.1615/IntJInnovOnlineEdu.2021039378,https://onlineinnovationsjournal.com/streams/visual-and-performing-arts/1c27b59107b8a762.html,"Только 19% продолжили онлайн к концу года; успешные меняли темп урока, добавляли асинхронные видео от учеников, переходили к ученико-центрированному подходу; неуспешные не пользовались внешними микрофонами/наушниками и не просили присылать записи. В доступном тексте — пересказ автора, а не дословные цитаты участников"
"Making Music: Learning, Playing and Teaching in the UK in 2021 (ABRSM Making Music Report 2021)",ABRSM (with Critical Research),2021,ABRSM (industry report),"Survey: online omnibus surveys, learner survey weighted to ONS population figures, plus a teacher survey (Feb–Apr 2020) and a separate June 2020 survey on lockdown teaching; repeats questions from 2014 for trend comparison","UK: 1,726 children (5–17), 1,505 adults (18+), 2,485 music teachers","Participation in music making, lessons (including singing lessons), why people give up, barriers (cost), teachers' digital technology use and move online",4,https://gb.abrsm.org/en/abrsm-making-music/,https://www.abrsm.org/sites/default/files/2023-08/web_abrsm-making-music-uk-21.pdf,"Large, representative benchmark. From the PDF itself: 43% of adults make music and 27% of adults currently play an instrument. Adults report stopping at age 18 on average. Participation in singing lessons did not change between 2014 and 2020. 71% of teachers say cost is a barrier, and 18% of adults who never played cite cost. 87% of teachers moved lessons online in 2020, and 90% use digital technology. Top reason children give up is 'I lost interest/didn't want to learn anymore' (50%). Useful for market sizing and churn hypotheses; figures are UK only."
